Column1,Column2,Column3,Column4
235,20170312,0,17
235,20170313,0,14
235,20170314,0,15
235,20170315,0,19
235,20170316,0,20
235,20170317,84,13
235,20170318,13,9
235,20170319,42,12
235,20170320,38,6
235,20170321,0,22
235,20170322,0,22
235,20170323,0,22
235,20170324,0,23
235,20170325,0,24
235,20170326,0,24
235,20170327,0,25
235,20170328,0,23
235,20170329,5,11
235,20170330,0,22
235,20170331,3,20
235,20170401,1,12
235,20170402,0,24
235,20170403,0,15
235,20170404,0,26
235,20170405,0,23
235,20170406,-1,20
235,20170407,0,25
235,20170408,0,23
235,20170409,0,31
235,20170410,-1,24
235,20170411,0,27
235,20170412,22,10
235,20170413,0,26
235,20170414,31,16
235,20170415,25,22
235,20170416,6,27
235,20170417,10,28
235,20170418,17,27
235,20170419,0,21
235,20170420,0,23
235,20170421,5,13
235,20170422,5,27
235,20170423,6,25
235,20170424,43,14
235,20170425,10,26
235,20170426,9,25
235,20170427,25,22
235,20170428,1,29
235,20170429,0,30
235,20170430,0,37
235,20170501,27,10
235,20170502,11,17
235,20170503,5,17
235,20170504,5,14
235,20170505,-1,11
235,20170506,0,29
235,20170507,-1,30
235,20170508,1,28
235,20170509,0,25
235,20170510,0,28
235,20170511,0,41
235,20170512,22,19
235,20170513,6,29
235,20170514,-1,34
235,20170515,-1,34
235,20170516,-1,30
235,20170517,-1,38
235,20170518,16,29
235,20170519,18,16
235,20170520,0,41
235,20170521,0,44
235,20170522,0,45
235,20170523,0,41
235,20170524,0,37
235,20170525,0,48
235,20170526,0,52
235,20170527,0,52
235,20170528,0,49
235,20170529,25,36
235,20170530,0,25
235,20170531,0,48
235,20170601,0,50
235,20170602,0,49
235,20170603,14,35
235,20170604,0,49
235,20170605,-1,43
235,20170606,32,21
235,20170607,6,12
235,20170608,15,25
235,20170609,294,29
235,20170610,0,33
235,20170611,-1,42
235,20170612,0,38
235,20170613,0,44
235,20170614,0,50
235,20170615,0,45
235,20170616,0,45
235,20170617,0,37
235,20170618,0,54
235,20170619,0,55
235,20170620,0,36
235,20170621,0,49
235,20170622,14,32
235,20170623,-1,25
235,20170624,8,17
235,20170625,51,13
235,20170626,0,42
235,20170627,3,39
235,20170628,52,11
235,20170629,-1,25
235,20170630,49,21
235,20170701,16,23
235,20170702,3,40
235,20170703,0,34
235,20170704,0,40
235,20170705,-1,49
235,20170706,13,40
235,20170707,-1,36
235,20170708,-1,27
235,20170709,0,51
235,20170710,5,21
235,20170711,-1,35
235,20170712,64,26
235,20170713,0,35
235,20170714,2,27
235,20170715,4,37
235,20170716,6,18
235,20170717,0,47
235,20170718,0,48
235,20170719,-1,37
235,20170720,1,28
235,20170721,-1,26
235,20170722,-1,29
235,20170723,137,25
235,20170724,66,35
235,20170725,47,24
235,20170726,35,38
235,20170727,-1,31
235,20170728,58,35
235,20170729,124,35
235,20170730,11,31
235,20170731,1,41
235,20170801,0,33
235,20170802,37,29
235,20170803,40,34
235,20170804,53,35
235,20170805,1,34
235,20170806,0,44
235,20170807,0,39
235,20170808,81,12
235,20170809,-1,35
235,20170810,10,31
235,20170811,-1,32
235,20170812,54,22
235,20170813,25,39
235,20170814,0,34
235,20170815,4,13
235,20170816,0,25
235,20170817,24,10
235,20170818,12,25
235,20170819,87,27
235,20170820,-1,28
235,20170821,0,32
235,20170822,-1,33
235,20170823,0,30
235,20170824,0,34
235,20170825,0,34
235,20170826,-1,20
235,20170827,0,35
235,20170828,0,35
235,20170829,26,31
235,20170830,335,3
235,20170831,42,19
235,20170901,-1,32
235,20170902,19,25
235,20170903,0,31
235,20170904,0,31
235,20170905,16,15
235,20170906,20,13
235,20170907,25,20
235,20170908,167,10
235,20170909,111,21
235,20170910,124,22
235,20170911,183,18
235,20170912,99,14
235,20170913,94,14
235,20170914,84,8
235,20170915,220,19
235,20170916,118,19
235,20170917,119,12
235,20170918,85,23
235,20170919,8,18
235,20170920,0,20
235,20170921,-1,18
235,20170922,49,8
235,20170923,0,22
235,20170924,0,19
235,20170925,0,11
235,20170926,0,8
235,20170927,0,12
235,20170928,86,9
235,20170929,74,10
235,20170930,15,5
235,20171001,2,10
235,20171002,22,10
235,20171003,8,18
235,20171004,10,8
235,20171005,73,15
235,20171006,24,15
235,20171007,46,3
235,20171008,8,10
235,20171009,10,8
235,20171010,-1,5
235,20171011,46,7
235,20171012,0,14
235,20171013,0,9
235,20171014,0,16
235,20171015,0,16
235,20171016,-1,15
235,20171017,0,9
235,20171018,0,7
235,20171019,-1,10
235,20171020,241,6
235,20171021,22,9
235,20171022,107,6
235,20171023,4,8
235,20171024,37,4
235,20171025,-1,10
235,20171026,-1,7
235,20171027,14,11
235,20171028,2,3
235,20171029,11,9
235,20171030,8,9
235,20171031,2,4
235,20171101,3,8
235,20171102,-1,8
235,20171103,8,5
235,20171104,22,5
235,20171105,16,4
235,20171106,4,8
235,20171107,0,8
235,20171108,7,3
235,20171109,4,5
235,20171110,39,5
235,20171111,28,5
235,20171112,116,3
235,20171113,15,6
235,20171114,9,2
235,20171115,13,2
235,20171116,40,3
235,20171117,0,6
235,20171118,39,3
235,20171119,32,4
235,20171120,158,1
235,20171121,86,1
235,20171122,16,5
235,20171123,26,4
235,20171124,3,4
235,20171125,12,3
235,20171126,65,2
235,20171127,84,2
235,20171128,21,4
235,20171129,22,3
235,20171130,87,2
235,20171201,5,3
235,20171202,4,2
235,20171203,10,3
235,20171204,8,2
235,20171205,-1,1
235,20171206,0,1
235,20171207,96,1
235,20171208,120,1
235,20171209,88,1
235,20171210,50,1
235,20171211,30,1
235,20171212,34,3
235,20171213,163,1
235,20171214,25,3
235,20171215,15,1
235,20171216,20,3
235,20171217,36,4
235,20171218,5,3
235,20171219,0,2
235,20171220,6,1
235,20171221,3,2
235,20171222,-1,2
235,20171223,-1,1
235,20171224,0,2
235,20171225,-1,1
235,20171226,54,3
235,20171227,221,1
235,20171228,-1,3
235,20171229,34,1
235,20171230,62,1
235,20171231,51,1
235,20180101,9,3
235,20180102,44,2
235,20180103,132,1
235,20180104,11,2
235,20180105,43,2
235,20180106,8,2
235,20180107,0,5
235,20180108,0,4
235,20180109,0,2
235,20180110,15,1
235,20180111,-1,1
235,20180112,10,1
235,20180113,0,1
235,20180114,0,1
235,20180115,158,1
235,20180116,42,3
235,20180117,43,4
235,20180118,153,3
235,20180119,49,4
235,20180120,17,2
235,20180121,11,5
235,20180122,4,3
235,20180123,32,2
235,20180124,70,2
235,20180125,0,4
235,20180126,0,5
235,20180127,7,2
235,20180128,0,4
235,20180129,71,2
235,20180130,0,6
235,20180131,102,2
235,20180201,44,5
235,20180202,13,4
235,20180203,6,4
235,20180204,-1,4
235,20180205,0,5
235,20180206,0,7
235,20180207,0,6
235,20180208,13,7
235,20180209,8,4
235,20180210,6,7
235,20180211,45,8
235,20180212,24,9
235,20180213,10,10
235,20180214,-1,9
235,20180215,30,5
235,20180216,0,10
235,20180217,0,8
235,20180218,0,10
235,20180219,5,2
235,20180220,0,4
235,20180221,0,10
235,20180222,-1,11
235,20180223,0,9
235,20180224,0,11
235,20180225,-1,10
235,20180226,-1,9
235,20180227,-1,10
235,20180228,-1,8
235,20180301,0,7
235,20180302,0,10
235,20180303,0,6
235,20180304,44,10
235,20180305,-1,14
235,20180306,0,11
235,20180307,8,10
235,20180308,32,8
235,20180309,5,16
235,20180310,50,9
235,20180311,20,5
235,20180312,24,10
235,20180313,33,6
235,20180314,0,16
235,20180315,0,14
235,20180316,31,3
235,20180317,0,11
235,20180318,0,15
235,20180319,-1,18
235,20180320,7,20
235,20180321,-1,17
235,20180322,21,15
235,20180323,0,7
235,20180324,0,5
235,20180325,0,14
235,20180326,-1,14
235,20180327,18,9
235,20180328,84,5
235,20180329,1,20
235,20180330,14,16
235,20180331,3,13
235,20180401,192,9
235,20180402,68,7
235,20180403,111,13
235,20180404,24,10
235,20180405,8,17
235,20180406,0,25
235,20180407,0,29
235,20180408,0,21
235,20180409,1,11
235,20180410,0,21
235,20180411,0,23
235,20180412,-1,10
235,20180413,0,16
235,20180414,0,11
235,20180415,53,15
235,20180416,4,31
235,20180417,0,26
235,20180418,0,36
235,20180419,0,40
235,20180420,0,34
235,20180421,0,35
235,20180422,0,35
235,20180423,0,33
235,20180424,76,16
235,20180425,29,23
235,20180426,-1,30
235,20180427,3,17
235,20180428,11,16
235,20180429,87,9
235,20180430,216,4
235,20180501,24,25
235,20180502,28,30
235,20180503,0,37
235,20180504,0,38
235,20180505,0,42
235,20180506,0,45
235,20180507,0,47
235,20180508,0,47
235,20180509,0,41
235,20180510,14,19
235,20180511,0,38
235,20180512,0,37
235,20180513,57,14
235,20180514,0,45
235,20180515,0,46
235,20180516,-1,26
235,20180517,0,35
235,20180518,0,19
235,20180519,-1,15
235,20180520,0,44
235,20180521,0,50
235,20180522,0,48
235,20180523,0,34
235,20180524,-1,40
235,20180525,0,31
235,20180526,0,48
235,20180527,0,49
235,20180528,0,49
235,20180529,54,44
235,20180530,35,40
235,20180531,54,25
235,20180601,4,29
235,20180602,151,11
235,20180603,0,43
235,20180604,-1,13
235,20180605,-1,34
235,20180606,0,49
235,20180607,0,51
235,20180608,3,12
235,20180609,27,33
235,20180610,-1,28
235,20180611,0,44
235,20180612,-1,17
235,20180613,0,36
235,20180614,12,18
235,20180615,0,48
235,20180616,-1,27
235,20180617,0,32
235,20180618,6,22
235,20180619,0,28
235,20180620,3,23
235,20180621,-1,38
235,20180622,8,23
235,20180623,-1,35
235,20180624,-1,22
235,20180625,0,42
235,20180626,0,48
235,20180627,0,45
235,20180628,0,53
235,20180629,0,50
235,20180630,0,56
235,20180701,0,57
235,20180702,0,55
235,20180703,0,53
235,20180704,0,49
235,20180705,-1,27
235,20180706,0,41
235,20180707,0,48
235,20180708,0,51
235,20180709,1,18
235,20180710,-1,25
235,20180711,0,39
235,20180712,0,44
235,20180713,0,34
235,20180714,0,51
235,20180715,0,52
235,20180716,0,53
235,20180717,0,39
235,20180718,0,45
235,20180719,0,42
235,20180720,0,44
235,20180721,0,46
235,20180722,0,44
235,20180723,0,50
235,20180724,0,48
235,20180725,0,43
235,20180726,-1,48
235,20180727,8,49
235,20180728,112,29
235,20180729,5,25
235,20180730,3,26
235,20180731,38,38
235,20180801,0,44
235,20180802,0,47
235,20180803,0,48
235,20180804,0,34
235,20180805,0,45
235,20180806,0,47
235,20180807,8,45
235,20180808,16,25
235,20180809,149,13
235,20180810,74,27
235,20180811,5,38
235,20180812,-1,27
235,20180813,157,16
235,20180814,1,34
235,20180815,0,29
235,20180816,8,9
235,20180817,0,39
235,20180818,0,22
235,20180819,-1,11
235,20180820,11,22
235,20180821,0,30
235,20180822,0,28
235,20180823,87,14
235,20180824,53,25
235,20180825,91,25
235,20180826,38,20
235,20180827,30,17
235,20180828,0,17
235,20180829,36,11
235,20180830,0,31
235,20180831,9,22
235,20180901,0,27
235,20180902,0,34
235,20180903,-1,16
235,20180904,-1,28
235,20180905,23,9
235,20180906,56,7
235,20180907,79,22
235,20180908,7,19
235,20180909,2,22
235,20180910,0,15
235,20180911,15,10
235,20180912,58,11
235,20180913,0,26
235,20180914,3,10
235,20180915,8,25
235,20180916,-1,19
235,20180917,0,15
235,20180918,0,24
235,20180919,0,25
235,20180920,-1,16
235,20180921,63,18
235,20180922,53,12
235,20180923,44,4
235,20180924,28,19
235,20180925,-1,17
235,20180926,0,23
235,20180927,0,24
235,20180928,3,18
235,20180929,0,17
235,20180930,6,14
235,20181001,45,16
235,20181002,12,12
235,20181003,-1,20
235,20181004,1,10
235,20181005,0,20
235,20181006,21,16
235,20181007,0,17
235,20181008,0,11
235,20181009,0,15
235,20181010,0,19
235,20181011,-1,15
235,20181012,1,18
235,20181013,0,18
235,20181014,0,18
235,20181015,0,16
235,20181016,0,16
235,20181017,-1,15
235,20181018,0,12
235,20181019,0,12
235,20181020,0,8
235,20181021,2,7
235,20181022,-1,13
235,20181023,-1,4
235,20181024,8,10
235,20181025,5,5
235,20181026,69,5
235,20181027,41,10
235,20181028,-1,11
235,20181029,0,4
235,20181030,169,3
235,20181031,6,8
235,20181101,17,5
235,20181102,62,7
